Edition,Year,Venue,Venue City,Host,Network,Viewers (in millions)
1st,1959,Various (including Beverly Hilton Hotel),Beverly Hills & New York City,Mort Sahl,NBC,—
2nd,1959,Various (including Beverly Hilton Hotel),Beverly Hills & New York City,Meredith Willson,NBC,—
3rd,1961,Various (including Beverly Hilton Hotel),Beverly Hills & New York City,None,NBC,—
4th,1962,Various (including Beverly Hilton Hotel),"Chicago, Los Angeles & New York City",None,NBC,—
5th,1963,Various (including Beverly Hilton Hotel),"Chicago, Los Angeles & New York City",Frank Sinatra,NBC,—
6th,1964,Various (including Beverly Hilton Hotel),"Chicago, Los Angeles & New York City",None,NBC,—
7th,1965,Beverly Hilton Hotel,Beverly Hills,None,NBC,—
8th,1966,Various,"Chicago, Los Angeles, Nashville & New York City",Jerry Lewis,NBC,—
9th,1967,Various,"Chicago, Los Angeles, Nashville & New York City",None,NBC,—
10th,1968,Various,"Chicago, Los Angeles, Nashville & New York City",None,NBC,—
11th,1969,Various,"Chicago, Los Angeles, Nashville & New York City",None,NBC,—
12th,1970,Various,"Chicago, Los Angeles, Nashville & New York City",None,NBC,—
13th,1971,Hollywood Palladium,Los Angeles,Andy Williams,ABC,—
14th,1972,Madison Square Garden,New York City,Andy Williams,ABC,—
15th,1973,Tennessee Theatre,Nashville,Andy Williams,CBS,—
16th,1974,Hollywood Palladium,Los Angeles,Andy Williams,CBS,—
17th,1975,Uris Theater,New York City,Andy Williams,CBS,—
18th,1976,Hollywood Palladium,Los Angeles,Andy Williams,CBS,—
19th,1977,Hollywood Palladium,Los Angeles,Andy Williams,CBS,28.86
20th,1978,Shrine Auditorium,Los Angeles,John Denver,CBS,—
21st,1979,Shrine Auditorium,Los Angeles,John Denver,CBS,31.31
22nd,1980,Shrine Auditorium,Los Angeles,Kenny Rogers,CBS,32.39
23rd,1981,Radio City Music Hall,New York City,Paul Simon,CBS,28.57
24th,1982,Shrine Auditorium,Los Angeles,John Denver,CBS,24.02
25th,1983,Shrine Auditorium,Los Angeles,John Denver,CBS,30.86
26th,1984,Shrine Auditorium,Los Angeles,John Denver,CBS,51.67
27th,1985,Shrine Auditorium,Los Angeles,John Denver,CBS,37.12
28th,1986,Shrine Auditorium,Los Angeles,Kenny Rogers,CBS,30.39
29th,1987,Shrine Auditorium,Los Angeles,Billy Crystal,CBS,27.91
30th,1988,Radio City Music Hall,New York City,Billy Crystal,CBS,32.76
31st,1989,Shrine Auditorium,Los Angeles,Billy Crystal,CBS,23.57
32nd,1990,Shrine Auditorium,Los Angeles,Garry Shandling,CBS,28.83
33rd,1991,Radio City Music Hall,New York City,Garry Shandling,CBS,28.89
34th,1992,Radio City Music Hall,New York City,Whoopi Goldberg,CBS,23.10
35th,1993,Shrine Auditorium,Los Angeles,Garry Shandling,CBS,29.87
36th,1994,Radio City Music Hall,New York City,Garry Shandling,CBS,23.69
37th,1995,Shrine Auditorium,Los Angeles,Paul Reiser,CBS,17.27
38th,1996,Shrine Auditorium,Los Angeles,Ellen DeGeneres,CBS,21.50
39th,1997,Madison Square Garden,New York City,Ellen DeGeneres,CBS,19.21
40th,1998,Radio City Music Hall,New York City,Kelsey Grammer,CBS,25.04
41st,1999,Shrine Auditorium,Los Angeles,Rosie O'Donnell,CBS,24.88
42nd,2000,Staples Center,Los Angeles,Rosie O'Donnell,CBS,27.79
43rd,2001,Staples Center,Los Angeles,Jon Stewart,CBS,26.65
44th,2002,Staples Center,Los Angeles,Jon Stewart,CBS,18.96
45th,2003,Madison Square Garden,New York City,None,CBS,24.82
46th,2004,Staples Center,Los Angeles,None,CBS,26.29
47th,2005,Staples Center,Los Angeles,Queen Latifah,CBS,18.80
48th,2006,Staples Center,Los Angeles,None,CBS,17.00
49th,2007,Staples Center,Los Angeles,None,CBS,20.05
50th,2008,Staples Center,Los Angeles,None,CBS,17.18
51st,2009,Staples Center,Los Angeles,None,CBS,19.04
52nd,2010,Staples Center,Los Angeles,None,CBS,25.80
53rd,2011,Staples Center,Los Angeles,None,CBS,26.55
54th,2012,Staples Center,Los Angeles,LL Cool J,CBS,39.91
55th,2013,Staples Center,Los Angeles,LL Cool J,CBS,28.37
56th,2014,Staples Center,Los Angeles,LL Cool J,CBS,28.51
57th,2015,Staples Center,Los Angeles,LL Cool J,CBS,25.30
58th,2016,Staples Center,Los Angeles,LL Cool J,CBS,24.95
59th,2017,Staples Center,Los Angeles,James Corden,CBS,26.05
60th,2018,Madison Square Garden,New York City,James Corden,CBS,19.80
61st,2019,Staples Center,Los Angeles,Alicia Keys,CBS,19.88
62nd,2020,Staples Center,Los Angeles,Alicia Keys,CBS,18.70
63rd,2021,Los Angeles Convention Center,Los Angeles,Trevor Noah,CBS,9.23
64th,2022,MGM Grand Garden Arena,Las Vegas,Trevor Noah,CBS,9.59
65th,2023,Crypto.com Arena,Los Angeles,Trevor Noah,CBS,12.55
66th,2024,Crypto.com Arena,Los Angeles,Trevor Noah,CBS,16.90
